p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TCF25	0.701756395155615	-0.270472210887473	0.426	0.344	1
PRKCA	0.71417765927876	-0.266527805360101	0.34	0.298	1
PREX1	0.723312003411934	-0.303231379599709	0.29	0.256	1
SRA1	0.723376458382739	-0.301498074899018	0.356	0.294	1
LIMD2	0.759587187728345	-0.308002301186904	0.254	0.217	1
JUND	0.780035011519906	-0.267229834959732	0.267	0.231	1
RPS27L	0.781112782011311	-0.297182473868397	0.384	0.327	1
ZFP36	0.801604018992173	-0.375784195080774	0.357	0.301	1
RGL1	0.807409725192022	-0.347215627426139	0.299	0.259	1
WIPF1	0.833232561283958	-0.303617215489855	0.263	0.223	1
FMNL1	0.841058492866001	-0.270965848466326	0.256	0.222	1
RNASET2	0.865972438631214	-0.280832721057166	0.331	0.28	1
ISG15	0.875487520459449	-0.47858107924662	0.307	0.278	1
FOLR2	0.88147886791072	-0.288950016499209	0.342	0.29	1
WWP1	0.892999833597697	-0.254208446121841	0.298	0.261	1
SNX8	0.897241532767941	-0.294329331793147	0.252	0.22	1
COMMD6	0.908887898534289	-0.28616020621674	0.366	0.302	1
ATP6V0D1	0.929285730026061	-0.259590625165719	0.534	0.428	1
TPP1	0.934347105165417	-0.347311730186718	0.276	0.239	1
MAFB	0.935168893974445	-0.304252382524325	0.321	0.281	1
TAX1BP1	0.953070488912685	-0.274866540145845	0.252	0.22	1
WNK1	0.964724280829993	-0.309592140955118	0.316	0.27	1
